comparison,axis,baseline,target,a,b,spearman,top50_jaccard
cell_bootstrap,shared,zero,norm_squared,0,47,0.8279147890000869,0.5384615384615384
cell_bootstrap,shared,zero,norm_squared,0,48,0.9612344478860432,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,49,0.9168819285462178,0.47058823529411764
cell_bootstrap,shared,zero,norm_squared,0,50,0.9650054002028784,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,51,0.9311917644163477,0.5625
cell_bootstrap,shared,zero,norm_squared,0,52,0.8970804393379999,0.4925373134328358
cell_bootstrap,shared,zero,norm_squared,0,53,0.9045261556619042,0.47058823529411764
cell_bootstrap,shared,zero,norm_squared,0,54,0.9288845292197343,0.4925373134328358
cell_bootstrap,shared,zero,norm_squared,0,55,0.9614550557916323,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,56,0.9743521582093179,0.8181818181818182
cell_bootstrap,shared,zero,norm_squared,0,57,0.9331998572779033,0.6666666666666666
cell_bootstrap,shared,zero,norm_squared,0,58,0.9336590863004018,0.5625
cell_bootstrap,shared,zero,norm_squared,0,59,0.9699331576516131,0.7857142857142857
cell_bootstrap,shared,zero,norm_squared,0,60,0.9216848650848911,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,61,0.9259123789433497,0.6666666666666666
cell_bootstrap,shared,zero,norm_squared,0,62,0.934299463374157,0.5151515151515151
cell_bootstrap,shared,zero,norm_squared,0,63,0.9192236297950054,0.35135135135135137
cell_bootstrap,shared,zero,norm_squared,0,64,0.9247410141033289,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,65,0.9595877740810289,0.7241379310344828
cell_bootstrap,shared,zero,norm_squared,0,66,0.9087462478915953,0.47058823529411764
cell_bootstrap,shared,zero,norm_squared,0,67,0.9147020705145885,0.5873015873015873
cell_bootstrap,shared,zero,norm_squared,0,68,0.9480121845373517,0.5873015873015873
cell_bootstrap,shared,zero,norm_squared,0,69,0.9396238563553905,0.6949152542372882
cell_bootstrap,shared,zero,norm_squared,0,70,0.9613706962829139,0.7543859649122807
cell_bootstrap,shared,zero,norm_squared,0,71,0.9609310000674026,0.7543859649122807
cell_bootstrap,shared,zero,norm_squared,0,72,0.9627277972627001,0.5873015873015873
cell_bootstrap,shared,zero,norm_squared,0,73,0.9601772970322012,0.5873015873015873
cell_bootstrap,shared,zero,norm_squared,0,74,0.9639375154083625,0.4084507042253521
cell_bootstrap,shared,zero,norm_squared,0,75,0.9306801703897549,0.5151515151515151
cell_bootstrap,shared,zero,norm_squared,0,76,0.9574190099014039,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,77,0.939739509123292,0.6666666666666666
cell_bootstrap,shared,zero,norm_squared,0,78,0.9396968805424115,0.7543859649122807
cell_bootstrap,shared,zero,norm_squared,0,79,0.9273745854930099,0.3888888888888889
cell_bootstrap,shared,zero,norm_squared,0,80,0.931160837156623,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,81,0.9786193716972176,0.7543859649122807
cell_bootstrap,shared,zero,norm_squared,0,82,0.9741177673441385,0.7857142857142857
cell_bootstrap,shared,zero,norm_squared,0,83,0.9333771404270311,0.7857142857142857
cell_bootstrap,shared,zero,norm_squared,0,84,0.929190422068193,0.6949152542372882
cell_bootstrap,shared,zero,norm_squared,0,85,0.8712413290416204,0.5151515151515151
cell_bootstrap,shared,zero,norm_squared,0,86,0.951330485216762,0.7543859649122807
cell_bootstrap,shared,zero,norm_squared,0,87,0.9337840193241089,0.5625
cell_bootstrap,shared,zero,norm_squared,0,88,0.9197571360388767,0.47058823529411764
cell_bootstrap,shared,zero,norm_squared,0,89,0.8866874878314268,0.5151515151515151
cell_bootstrap,shared,zero,norm_squared,0,90,0.9155178966097232,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,91,0.9325065069553052,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,92,0.9526683449406307,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,93,0.9664551189266845,0.6666666666666666
cell_bootstrap,shared,zero,norm_squared,0,94,0.9522161025227386,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,95,0.9537014188242419,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,96,0.9772616221100023,0.6666666666666666
cell_bootstrap,shared,zero,norm_squared,0,97,0.9235008955021716,0.4925373134328358
cell_bootstrap,shared,zero,norm_squared,0,98,0.9361719793629789,0.5625
cell_bootstrap,shared,zero,norm_squared,0,99,0.9356187867913036,0.5151515151515151
cell_bootstrap,drug0,zero,norm_squared,0,0,0.9494222805705204,0.5625
cell_bootstrap,drug0,zero,norm_squared,0,1,0.9315885245800121,0.7241379310344828
cell_bootstrap,drug0,zero,norm_squared,0,2,0.9214670872050038,0.6129032258064516
cell_bootstrap,drug0,zero,norm_squared,0,3,0.9668229692345796,0.8867924528301887
cell_bootstrap,drug0,zero,norm_squared,0,4,0.9522067440043621,0.8181818181818182
cell_bootstrap,drug0,zero,norm_squared,0,5,0.9215975863832303,0.4492753623188406
cell_bootstrap,drug0,zero,norm_squared,0,6,0.8872320704957558,0.7241379310344828
cell_bootstrap,drug0,zero,norm_squared,0,7,0.9174937250026447,0.3698630136986301
cell_bootstrap,drug0,zero,norm_squared,0,8,0.8890289243514135,0.7241379310344828
cell_bootstrap,drug0,zero,norm_squared,0,9,0.9646614159553727,0.8181818181818182
cell_bootstrap,drug0,zero,norm_squared,0,10,0.9086543550993045,0.6666666666666666
cell_bootstrap,drug0,zero,norm_squared,0,11,0.8996224363009091,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,12,0.9442636745297441,0.5384615384615384
cell_bootstrap,drug0,zero,norm_squared,0,13,0.9662848233774081,0.8518518518518519
cell_bootstrap,drug0,zero,norm_squared,0,14,0.9654377011789799,0.4925373134328358
cell_bootstrap,drug0,zero,norm_squared,0,15,0.9701561898854578,0.7543859649122807
cell_bootstrap,drug0,zero,norm_squared,0,16,0.9009692478188068,0.42857142857142855
cell_bootstrap,drug0,zero,norm_squared,0,17,0.9519645455721213,0.8867924528301887
